"source_id","country_code","country_name","tool","dataset","indicator","hs_code","hs_level","period","trade_flow","reporter","partner","unit","data_source_mode","access_datetime","query_url","raw_file","sha256","source_note"
"TM-116-china_exports_bilateral-QTY","116","Cambodia","ITC Trade Map beta","china_exports_bilateral","QTY","850980","HS6","2020-2025","exports","China (156)","Cambodia (116)","unit field in each observation, normally Tons","Direct (D)","2026-09-05T20:06:32+08:00","https://www.trademap.org/api/goods/timeSeries/yearly/byProduct?tradeFlow=E&country=156&partner=116&product=850980&periodFrom=2020&periodTo=2025&directMirror=D&indicator=QTY&page=1&pageSize=10&sortBy=2025&sortDir=desc&hsLevel=6","cambodia\trade-map\china_exports_to_cambodia_hs850980_2020-2025_qty.json","b4cf46a7a15912f9fc62f91d3e9c6718437c2fecd09e5bb07d7b3c7c51ed995b","General Customs Administration of China; http://www.customs.gov.cn; since 2015"
"TM-116-target_import_imports_by_supplier-QTY","116","Cambodia","ITC Trade Map beta","target_import_imports_by_supplier","QTY","850980","HS6","2020-2025","imports","Cambodia (116)","World (000), broken down by supplier","unit field in each observation, normally Tons","Direct (D)","2026-09-05T20:06:32+08:00","https://www.trademap.org/api/goods/timeSeries/yearly/byPartner?tradeFlow=I&country=116&partner=000&product=850980&periodFrom=2020&periodTo=2025&directMirror=D&indicator=QTY&page=1&pageSize=500&sortBy=2025&sortDir=desc","cambodia\trade-map\cambodia_imports_from_world_hs850980_2020-2025_by_supplier_qty.json","f84a51a3a215f4717c1bf400788775b677507e54a8a5bd17adbf54ffb4c44efb","General Department of Customs and Excise of Cambodia; http://www.customs.gov.kh/en_gb/; since 2016"
"TM-360-china_exports_bilateral-VAL","360","Indonesia","ITC Trade Map beta","china_exports_bilateral","VAL","850980","HS6","2020-2025","exports","China (156)","Indonesia (360)","USD thousand","Direct (D)","2026-09-05T20:06:32+08:00","https://www.trademap.org/api/goods/timeSeries/yearly/byProduct?tradeFlow=E&country=156&partner=360&product=850980&periodFrom=2020&periodTo=2025&directMirror=D&indicator=VAL&page=1&pageSize=10&sortBy=2025&sortDir=desc&hsLevel=6&currency=USD","indonesia\trade-map\china_exports_to_indonesia_hs850980_2020-2025_val.json","30c95e7d31b42bdd39d7a81706c00bcd6b9568f86b1ac88a57968d1a74d5515e","General Customs Administration of China; http://www.customs.gov.cn; since 2015"
"TM-360-target_import_imports_by_supplier-VAL","360","Indonesia","ITC Trade Map beta","target_import_imports_by_supplier","VAL","850980","HS6","2020-2025","imports","Indonesia (360)","World (000), broken down by supplier","USD thousand","Direct (D)","2026-09-05T20:06:32+08:00","https://www.trademap.org/api/goods/timeSeries/yearly/byPartner?tradeFlow=I&country=360&partner=000&product=850980&periodFrom=2020&periodTo=2025&directMirror=D&indicator=VAL&page=1&pageSize=500&sortBy=2025&sortDir=desc&currency=USD","indonesia\trade-map\indonesia_imports_from_world_hs850980_2020-2025_by_supplier_val.json","d20f1d53f113401a2cc58455fddc4be86955c99f7090101c52a22d95654c45a6","BPS-Statistics Indonesia; http://dds.bps.go.id/eng/; since 2015"
"TM-360-china_exports_bilateral-QTY","360","Indonesia","ITC Trade Map beta","china_exports_bilateral","QTY","850980","HS6","2020-2025","exports","China (156)","Indonesia (360)","unit field in each observation, normally Tons","Direct (D)","2026-09-05T20:06:32+08:00","https://www.trademap.org/api/goods/timeSeries/yearly/byProduct?tradeFlow=E&country=156&partner=360&product=850980&periodFrom=2020&periodTo=2025&directMirror=D&indicator=QTY&page=1&pageSize=10&sortBy=2025&sortDir=desc&hsLevel=6","indonesia\trade-map\china_exports_to_indonesia_hs850980_2020-2025_qty.json","636699c2c93609660a452d4af27cbf94af28b3f09db73e8a195f8d58578a7443","General Customs Administration of China; http://www.customs.gov.cn; since 2015"
"TM-360-target_import_imports_by_supplier-QTY","360","Indonesia","ITC Trade Map beta","target_import_imports_by_supplier","QTY","850980","HS6","2020-2025","imports","Indonesia (360)","World (000), broken down by supplier","unit field in each observation, normally Tons","Direct (D)","2026-09-05T20:06:32+08:00","https://www.trademap.org/api/goods/timeSeries/yearly/byPartner?tradeFlow=I&country=360&partner=000&product=850980&periodFrom=2020&periodTo=2025&directMirror=D&indicator=QTY&page=1&pageSize=500&sortBy=2025&sortDir=desc","indonesia\trade-map\indonesia_imports_from_world_hs850980_2020-2025_by_supplier_qty.json","7ccc65ae39d8045a6e77029e9e2be31f8524d9e9c27d69b319a3582b3fd6ed6e","BPS-Statistics Indonesia; http://dds.bps.go.id/eng/; since 2015"
"TM-392-china_exports_bilateral-VAL","392","Japan","ITC Trade Map beta","china_exports_bilateral","VAL","850980","HS6","2020-2025","exports","China (156)","Japan (392)","USD thousand","Direct (D)","2026-09-05T20:06:32+08:00","https://www.trademap.org/api/goods/timeSeries/yearly/byProduct?tradeFlow=E&country=156&partner=392&product=850980&periodFrom=2020&periodTo=2025&directMirror=D&indicator=VAL&page=1&pageSize=10&sortBy=2025&sortDir=desc&hsLevel=6&currency=USD","japan\trade-map\china_exports_to_japan_hs850980_2020-2025_val.json","00d302ea1fb451635433c1ca26a5262e10da8f2eb7012d23a1072c7099478adb","General Customs Administration of China; http://www.customs.gov.cn; since 2015"
"TM-392-target_import_imports_by_supplier-VAL","392","Japan","ITC Trade Map beta","target_import_imports_by_supplier","VAL","850980","HS6","2020-2025","imports","Japan (392)","World (000), broken down by supplier","USD thousand","Direct (D)","2026-09-05T20:06:32+08:00","https://www.trademap.org/api/goods/timeSeries/yearly/byPartner?tradeFlow=I&country=392&partner=000&product=850980&periodFrom=2020&periodTo=2025&directMirror=D&indicator=VAL&page=1&pageSize=500&sortBy=2025&sortDir=desc&currency=USD","japan\trade-map\japan_imports_from_world_hs850980_2020-2025_by_supplier_val.json","157517ac8131c7ed844f2412cc77bf48c7d0086b21ff716ea38cd9dd39772fec","Japanese Ministry of Finance; http://www.customs.go.jp; since 2015"
"TM-392-china_exports_bilateral-QTY","392","Japan","ITC Trade Map beta","china_exports_bilateral","QTY","850980","HS6","2020-2025","exports","China (156)","Japan (392)","unit field in each observation, normally Tons","Direct (D)","2026-09-05T20:06:32+08:00","https://www.trademap.org/api/goods/timeSeries/yearly/byProduct?tradeFlow=E&country=156&partner=392&product=850980&periodFrom=2020&periodTo=2025&directMirror=D&indicator=QTY&page=1&pageSize=10&sortBy=2025&sortDir=desc&hsLevel=6","japan\trade-map\china_exports_to_japan_hs850980_2020-2025_qty.json","4b9ae21f5e2ac53b36a6be38bcd39f21ddafa791064d62fcd06fbf18b6fbf4ca","General Customs Administration of China; http://www.customs.gov.cn; since 2015"
"TM-392-target_import_imports_by_supplier-QTY","392","Japan","ITC Trade Map beta","target_import_imports_by_supplier","QTY","850980","HS6","2020-2025","imports","Japan (392)","World (000), broken down by supplier","unit field in each observation, normally Tons","Direct (D)","2026-09-05T20:06:32+08:00","https://www.trademap.org/api/goods/timeSeries/yearly/byPartner?tradeFlow=I&country=392&partner=000&product=850980&periodFrom=2020&periodTo=2025&directMirror=D&indicator=QTY&page=1&pageSize=500&sortBy=2025&sortDir=desc","japan\trade-map\japan_imports_from_world_hs850980_2020-2025_by_supplier_qty.json","89f997c99c5ecff17d06dc90187d73c89f32644f764a51c663b7024ebed5524c","Japanese Ministry of Finance; http://www.customs.go.jp; since 2015"
"TM-410-china_exports_bilateral-VAL","410","Korea, Republic of","ITC Trade Map beta","china_exports_bilateral","VAL","850980","HS6","2020-2025","exports","China (156)","Korea, Republic of (410)","USD thousand","Direct (D)","2026-09-05T20:06:32+08:00","https://www.trademap.org/api/goods/timeSeries/yearly/byProduct?tradeFlow=E&country=156&partner=410&product=850980&periodFrom=2020&periodTo=2025&directMirror=D&indicator=VAL&page=1&pageSize=10&sortBy=2025&sortDir=desc&hsLevel=6&currency=USD","south-korea\trade-map\china_exports_to_south-korea_hs850980_2020-2025_val.json","16641c445cf9ac08a3966b3071406927e62e39b30256f007bbbc71bfb51fc70e","General Customs Administration of China; http://www.customs.gov.cn; since 2015"
"TM-410-target_import_imports_by_supplier-VAL","410","Korea, Republic of","ITC Trade Map beta","target_import_imports_by_supplier","VAL","850980","HS6","2020-2025","imports","Korea, Republic of (410)","World (000), broken down by supplier","USD thousand","Direct (D)","2026-09-05T20:06:32+08:00","https://www.trademap.org/api/goods/timeSeries/yearly/byPartner?tradeFlow=I&country=410&partner=000&product=850980&periodFrom=2020&periodTo=2025&directMirror=D&indicator=VAL&page=1&pageSize=500&sortBy=2025&sortDir=desc&currency=USD","south-korea\trade-map\south-korea_imports_from_world_hs850980_2020-2025_by_supplier_val.json","06b536890c94a1cad1e8a395f16c25fd092810775eb5cf2ea82e8d1371b8049e","Korea Customs and Trade Development Institute (KCTDI); http://www.kctdi.or.kr; since 2013"
"TM-410-china_exports_bilateral-QTY","410","Korea, Republic of","ITC Trade Map beta","china_exports_bilateral","QTY","850980","HS6","2020-2025","exports","China (156)","Korea, Republic of (410)","unit field in each observation, normally Tons","Direct (D)","2026-09-05T20:06:32+08:00","https://www.trademap.org/api/goods/timeSeries/yearly/byProduct?tradeFlow=E&country=156&partner=410&product=850980&periodFrom=2020&periodTo=2025&directMirror=D&indicator=QTY&page=1&pageSize=10&sortBy=2025&sortDir=desc&hsLevel=6","south-korea\trade-map\china_exports_to_south-korea_hs850980_2020-2025_qty.json","dd3ef94812313c3311e528e583751964f774fb5eaa4e01386da49c1a72e6bb82","General Customs Administration of China; http://www.customs.gov.cn; since 2015"
"TM-410-target_import_imports_by_supplier-QTY","410","Korea, Republic of","ITC Trade Map beta","target_import_imports_by_supplier","QTY","850980","HS6","2020-2025","imports","Korea, Republic of (410)","World (000), broken down by supplier","unit field in each observation, normally Tons","Direct (D)","2026-09-05T20:06:32+08:00","https://www.trademap.org/api/goods/timeSeries/yearly/byPartner?tradeFlow=I&country=410&partner=000&product=850980&periodFrom=2020&periodTo=2025&directMirror=D&indicator=QTY&page=1&pageSize=500&sortBy=2025&sortDir=desc","south-korea\trade-map\south-korea_imports_from_world_hs850980_2020-2025_by_supplier_qty.json","2e4f05e85db4d542602a549cfea3cb9fcbe7a6ebca9730602f2e5003c6724c03","Korea Customs and Trade Development Institute (KCTDI); http://www.kctdi.or.kr; since 2013"
"TM-418-china_exports_bilateral-VAL","418","Lao People's Democratic Republic","ITC Trade Map beta","china_exports_bilateral","VAL","850980","HS6","2020-2025","exports","China (156)","Lao People's Democratic Republic (418)","USD thousand","Direct (D)","2026-09-05T20:06:32+08:00","https://www.trademap.org/api/goods/timeSeries/yearly/byProduct?tradeFlow=E&country=156&partner=418&product=850980&periodFrom=2020&periodTo=2025&directMirror=D&indicator=VAL&page=1&pageSize=10&sortBy=2025&sortDir=desc&hsLevel=6&currency=USD","laos\trade-map\china_exports_to_laos_hs850980_2020-2025_val.json","bcdbf51eded4905b4873bc3b3153463ca3868196c214ff6454b01a3bf60b2a9b","General Customs Administration of China; http://www.customs.gov.cn; since 2015"
"TM-418-target_import_imports_by_supplier-VAL","418","Lao People's Democratic Republic","ITC Trade Map beta","target_import_imports_by_supplier","VAL","850980","HS6","2020-2025","imports","Lao People's Democratic Republic (418)","World (000), broken down by supplier","USD thousand","Direct (D)","2026-09-05T20:06:32+08:00","https://www.trademap.org/api/goods/timeSeries/yearly/byPartner?tradeFlow=I&country=418&partner=000&product=850980&periodFrom=2020&periodTo=2025&directMirror=D&indicator=VAL&page=1&pageSize=500&sortBy=2025&sortDir=desc&currency=USD","laos\trade-map\laos_imports_from_world_hs850980_2020-2025_by_supplier_val.json","77336019351258eeaf03964240d728189872927c622bd6795bad7461f2977faf","Lao Statistics Bureau; https://www.lsb.gov.la/en/home/; since 2019 | UN COMTRADE; http://comtrade.un.org; since 2022"
"TM-418-china_exports_bilateral-QTY","418","Lao People's Democratic Republic","ITC Trade Map beta","china_exports_bilateral","QTY","850980","HS6","2020-2025","exports","China (156)","Lao People's Democratic Republic (418)","unit field in each observation, normally Tons","Direct (D)","2026-09-05T20:06:32+08:00","https://www.trademap.org/api/goods/timeSeries/yearly/byProduct?tradeFlow=E&country=156&partner=418&product=850980&periodFrom=2020&periodTo=2025&directMirror=D&indicator=QTY&page=1&pageSize=10&sortBy=2025&sortDir=desc&hsLevel=6","laos\trade-map\china_exports_to_laos_hs850980_2020-2025_qty.json","6d659eaf934a276eb69644b8a132d1b84f26e88adf1559e85246307451ffd8c9","General Customs Administration of China; http://www.customs.gov.cn; since 2015"
"TM-418-target_import_imports_by_supplier-QTY","418","Lao People's Democratic Republic","ITC Trade Map beta","target_import_imports_by_supplier","QTY","850980","HS6","2020-2025","imports","Lao People's Democratic Republic (418)","World (000), broken down by supplier","unit field in each observation, normally Tons","Direct (D)","2026-09-05T20:06:32+08:00","https://www.trademap.org/api/goods/timeSeries/yearly/byPartner?tradeFlow=I&country=418&partner=000&product=850980&periodFrom=2020&periodTo=2025&directMirror=D&indicator=QTY&page=1&pageSize=500&sortBy=2025&sortDir=desc","laos\trade-map\laos_imports_from_world_hs850980_2020-2025_by_supplier_qty.json","dc773a5446a2133bcbe649d0239d15b9e80a763c24068ca1a79652b1e4e657ec","Lao Statistics Bureau; https://www.lsb.gov.la/en/home/; since 2019 | UN COMTRADE; http://comtrade.un.org; since 2022"
"TM-458-china_exports_bilateral-VAL","458","Malaysia","ITC Trade Map beta","china_exports_bilateral","VAL","850980","HS6","2020-2025","exports","China (156)","Malaysia (458)","USD thousand","Direct (D)","2026-09-05T20:06:32+08:00","https://www.trademap.org/api/goods/timeSeries/yearly/byProduct?tradeFlow=E&country=156&partner=458&product=850980&periodFrom=2020&periodTo=2025&directMirror=D&indicator=VAL&page=1&pageSize=10&sortBy=2025&sortDir=desc&hsLevel=6&currency=USD","malaysia\trade-map\china_exports_to_malaysia_hs850980_2020-2025_val.json","59853796d19bdb59b0fff23f0121224f2d9067bb1bf12844c866d144206a3cd0","General Customs Administration of China; http://www.customs.gov.cn; since 2015"
"TM-458-target_import_imports_by_supplier-VAL","458","Malaysia","ITC Trade Map beta","target_import_imports_by_supplier","VAL","850980","HS6","2020-2025","imports","Malaysia (458)","World (000), broken down by supplier","USD thousand","Direct (D)","2026-09-05T20:06:32+08:00","https://www.trademap.org/api/goods/timeSeries/yearly/byPartner?tradeFlow=I&country=458&partner=000&product=850980&periodFrom=2020&periodTo=2025&directMirror=D&indicator=VAL&page=1&pageSize=500&sortBy=2025&sortDir=desc&currency=USD","malaysia\trade-map\malaysia_imports_from_world_hs850980_2020-2025_by_supplier_val.json","3f83f7b17ef769e9d2e80853bbbfb96437aa7aef6962db46089f15c14235aa32","Department of Statistics Malaysia (DOSM); http://www.statistics.gov.my; since 2015"
"TM-458-china_exports_bilateral-QTY","458","Malaysia","ITC Trade Map beta","china_exports_bilateral","QTY","850980","HS6","2020-2025","exports","China (156)","Malaysia (458)","unit field in each observation, normally Tons","Direct (D)","2026-09-05T20:06:32+08:00","https://www.trademap.org/api/goods/timeSeries/yearly/byProduct?tradeFlow=E&country=156&partner=458&product=850980&periodFrom=2020&periodTo=2025&directMirror=D&indicator=QTY&page=1&pageSize=10&sortBy=2025&sortDir=desc&hsLevel=6","malaysia\trade-map\china_exports_to_malaysia_hs850980_2020-2025_qty.json","eed7e00f3241d3b279bcdc6c9a11e75e1653ac44ed4c39e6f3936303c0b6243a","General Customs Administration of China; http://www.customs.gov.cn; since 2015"
"TM-458-target_import_imports_by_supplier-QTY","458","Malaysia","ITC Trade Map beta","target_import_imports_by_supplier","QTY","850980","HS6","2020-2025","imports","Malaysia (458)","World (000), broken down by supplier","unit field in each observation, normally Tons","Direct (D)","2026-09-05T20:06:32+08:00","https://www.trademap.org/api/goods/timeSeries/yearly/byPartner?tradeFlow=I&country=458&partner=000&product=850980&periodFrom=2020&periodTo=2025&directMirror=D&indicator=QTY&page=1&pageSize=500&sortBy=2025&sortDir=desc","malaysia\trade-map\malaysia_imports_from_world_hs850980_2020-2025_by_supplier_qty.json","086bbff9cfaa01a8bf3f61511a2af8958886c75ce443088fbdcc6e50fc053ab3","Department of Statistics Malaysia (DOSM); http://www.statistics.gov.my; since 2015"
"TM-104-china_exports_bilateral-VAL","104","Myanmar","ITC Trade Map beta","china_exports_bilateral","VAL","850980","HS6","2020-2025","exports","China (156)","Myanmar (104)","USD thousand","Direct (D)","2026-09-05T20:06:32+08:00","https://www.trademap.org/api/goods/timeSeries/yearly/byProduct?tradeFlow=E&country=156&partner=104&product=850980&periodFrom=2020&periodTo=2025&directMirror=D&indicator=VAL&page=1&pageSize=10&sortBy=2025&sortDir=desc&hsLevel=6&currency=USD","myanmar\trade-map\china_exports_to_myanmar_hs850980_2020-2025_val.json","34537f2395ae51a172d672bb6dc370fa8d0c5c619b58174f355a7876aec5f8c3","General Customs Administration of China; http://www.customs.gov.cn; since 2015"
"TM-104-target_import_imports_by_supplier-VAL","104","Myanmar","ITC Trade Map beta","target_import_imports_by_supplier","VAL","850980","HS6","2020-2025","imports","Myanmar (104)","World (000), broken down by supplier","USD thousand","Direct (D)","2026-09-05T20:06:32+08:00","https://www.trademap.org/api/goods/timeSeries/yearly/byPartner?tradeFlow=I&country=104&partner=000&product=850980&periodFrom=2020&periodTo=2025&directMirror=D&indicator=VAL&page=1&pageSize=500&sortBy=2025&sortDir=desc&currency=USD","myanmar\trade-map\myanmar_imports_from_world_hs850980_2020-2025_by_supplier_val.json","da51cd27bcdae919b1ea70d3de0da828f6eb0481b1d5d83f7eeff7cb4f5fe20b","UN COMTRADE; http://comtrade.un.org; since 2010"
"TM-104-china_exports_bilateral-QTY","104","Myanmar","ITC Trade Map beta","china_exports_bilateral","QTY","850980","HS6","2020-2025","exports","China (156)","Myanmar (104)","unit field in each observation, normally Tons","Direct (D)","2026-09-05T20:06:32+08:00","https://www.trademap.org/api/goods/timeSeries/yearly/byProduct?tradeFlow=E&country=156&partner=104&product=850980&periodFrom=2020&periodTo=2025&directMirror=D&indicator=QTY&page=1&pageSize=10&sortBy=2025&sortDir=desc&hsLevel=6","myanmar\trade-map\china_exports_to_myanmar_hs850980_2020-2025_qty.json","ef4189d7434ddec2d4a89b789a492c7af2cc4c7065fe39fd00ed641c5d7a0978","General Customs Administration of China; http://www.customs.gov.cn; since 2015"
"TM-104-target_import_imports_by_supplier-QTY","104","Myanmar","ITC Trade Map beta","target_import_imports_by_supplier","QTY","850980","HS6","2020-2025","imports","Myanmar (104)","World (000), broken down by supplier","unit field in each observation, normally Tons","Direct (D)","2026-09-05T20:06:32+08:00","https://www.trademap.org/api/goods/timeSeries/yearly/byPartner?tradeFlow=I&country=104&partner=000&product=850980&periodFrom=2020&periodTo=2025&directMirror=D&indicator=QTY&page=1&pageSize=500&sortBy=2025&sortDir=desc","myanmar\trade-map\myanmar_imports_from_world_hs850980_2020-2025_by_supplier_qty.json","6b81b53e5fc1d1e711280d942a11528a3dd0b951c3adf77ff3fb0452fe5a714c","UN COMTRADE; http://comtrade.un.org; since 2010"
"TM-554-china_exports_bilateral-VAL","554","New Zealand","ITC Trade Map beta","china_exports_bilateral","VAL","850980","HS6","2020-2025","exports","China (156)","New Zealand (554)","USD thousand","Direct (D)","2026-09-05T20:06:32+08:00","https://www.trademap.org/api/goods/timeSeries/yearly/byProduct?tradeFlow=E&country=156&partner=554&product=850980&periodFrom=2020&periodTo=2025&directMirror=D&indicator=VAL&page=1&pageSize=10&sortBy=2025&sortDir=desc&hsLevel=6&currency=USD","new-zealand\trade-map\china_exports_to_new-zealand_hs850980_2020-2025_val.json","9ff706cc1e8262aaf63d1b6c7e77dad070e732e9ea8052d39b4fd311656baabb","General Customs Administration of China; http://www.customs.gov.cn; since 2015"
"TM-554-target_import_imports_by_supplier-VAL","554","New Zealand","ITC Trade Map beta","target_import_imports_by_supplier","VAL","850980","HS6","2020-2025","imports","New Zealand (554)","World (000), broken down by supplier","USD thousand","Direct (D)","2026-09-05T20:06:32+08:00","https://www.trademap.org/api/goods/timeSeries/yearly/byPartner?tradeFlow=I&country=554&partner=000&product=850980&periodFrom=2020&periodTo=2025&directMirror=D&indicator=VAL&page=1&pageSize=500&sortBy=2025&sortDir=desc&currency=USD","new-zealand\trade-map\new-zealand_imports_from_world_hs850980_2020-2025_by_supplier_val.json","a876c711b1c0598059904929ea5f670eb738bb1423cb386c517d68e6b8a0e283","Statistics New Zealand; http://www.stats.govt.nz; since 2015"
