reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2016 (USD Thousand),2017 (USD Thousand),2018 (USD Thousand),2019 (USD Thousand),2020 (USD Thousand),2021 (USD Thousand),2022 (USD Thousand),2023 (USD Thousand),2024 (USD Thousand),2025 (USD Thousand)
156,China,000,World,86,"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electromechanical) traffic signalling equipment of all kinds",6855397,10946520,13274153,9131684,9787017,26084292,18431312,11758478,20652395,17856833
156,China,000,World,44,Wood and articles of wood; wood charcoal,13613183,13693414,14888330,13386569,13540798,18613077,18276959,15742150,16400388,16343194
156,China,000,World,55,Man-made staple fibres,12143454,12055254,12692242,12380488,10060550,12937848,14512694,13226545,14199846,14124400
156,China,000,World,30,Pharmaceutical products,7018375,7359497,8866142,9168364,13207629,38552225,14004896,11295548,12205903,14085101
156,China,000,World,31,Fertilisers,6551331,6074758,7027789,7163728,6567198,11472060,11380037,9711197,8498739,13487839
156,China,000,World,07,Edible vegetables and certain roots and tubers,10553812,11161646,10518061,10326798,9671900,10077083,10166536,10988433,12348787,11166112
156,China,000,World,52,Cotton,14995944,15132579,15393581,14136337,10998837,13684189,13264148,10664945,10839636,10914918
156,China,000,World,16,"Preparations of meat, of fish, of crustaceans, molluscs or other aquatic invertebrates, or of insects",7941930,9025330,10253046,9241434,9164993,11717103,11794928,10779236,11196847,10885538
156,China,000,World,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",13705666,13255372,13257220,12467028,10710803,11037668,12200592,10425906,10355181,10826399
156,China,000,World,68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",11387835,11555642,12284202,11480129,12621152,14021648,15572472,13181307,11508727,10427754
156,China,000,World,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints and varnishes; putty and other mastics; inks",6204143,7056043,7782237,7719883,7831626,10444012,10522085,9491295,10465809,10095133
156,China,000,World,59,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable for industrial use",6932651,7406177,8039745,7959006,6711963,9295434,10239268,9286351,9963755,9956497
156,China,000,World,67,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles of human hair,5275763,6023655,7019013,8429336,8542953,12992030,12454437,10527598,10335124,9169280
156,China,000,World,34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, ‘dental waxes’ and dental preparations with a basis of plaster",3272920,3562707,4128183,4424264,5251974,5860935,7107367,7010178,7973224,9120914
156,China,000,World,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",4367112,4846660,5633581,5894165,5188134,6290145,7287619,7618182,8415929,9036558
156,China,000,World,20,"Preparations of vegetables, fruit, nuts or other parts of plants",7342281,7691124,8051121,7837280,7610993,8272698,9968524,9937359,9107183,8646195
156,China,000,World,24,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body",1376375,1326671,1405547,1419728,778778,710844,7540466,9174946,9276361,8486658
156,China,000,World,56,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",4937214,5089427,5742582,6053128,8170413,8357671,7949131,7596191,8006038,8313931
156,China,000,World,08,Edible fruit and nuts; peel of citrus fruit or melons,5486744,5343137,5284633,6227061,7063596,6332811,5480918,5930241,7211550,8100149
156,China,000,World,88,"Aircraft, spacecraft, and parts thereof",3440181,3670362,4612433,3901147,2457461,3120920,5565282,6917068,7053630,7994519
156,China,000,World,21,Miscellaneous edible preparations,3208458,3355603,3676668,3985225,4559733,5700945,6335773,6986839,6435989,7133967
156,China,000,World,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,4590432,4739217,5073174,5312106,4092947,5645056,6101395,5723350,6111660,6243974
156,China,000,World,65,Headgear and parts thereof,4491133,4366502,4680178,4640378,4026427,5565457,6890792,6032782,6028571,5800292
156,China,000,World,35,Albuminoidal substances; modified starches; glues; enzymes,2511718,2849480,3059205,3227741,3412079,4299889,4888332,4517349,4928730,5296186
156,China,000,World,91,Clocks and watches and parts thereof,5497417,4844678,4721817,4928682,3632619,4667441,4819791,4828602,4971231,4854863
156,China,000,World,81,Other base metals; cermets; articles thereof,2568398,3245591,3879060,3526180,2735663,4966733,6588383,4908916,5304265,4755265
156,China,000,World,15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes",588225,841956,1092620,1188457,1439275,2365245,3604174,3498004,4143483,4647154
156,China,000,World,57,Carpets and other textile floor coverings,2538131,2707665,2977667,2919314,2963540,3749046,3854098,4034585,4388104,4331809
156,China,000,World,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",3693880,3646337,3883529,3975127,3489391,4357899,4350035,4058158,4248660,4027824
156,China,000,World,23,Residues and waste from the food industries; prepared animal fodder,2768075,2659186,3116370,2809043,2922173,3682443,3904667,3945215,4401518,3974321
156,China,000,World,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",2718629,2646093,2714272,2874926,2874555,2954779,3170637,3303039,3562939,3736785
156,China,000,World,75,Nickel and articles thereof,329631,418379,455596,914848,547847,502863,1184719,1520969,2843324,3500557
156,China,000,World,09,"Coffee, tea, maté and spices",2981847,3183074,3285918,3633403,4035222,4189096,3819512,3785298,3571143,3458894
156,China,000,World,17,Sugars and sugar confectionery,1707267,1759675,1828254,1861349,1702784,1931042,2560218,3010500,3350333,3449202
156,China,000,World,25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",3029675,3240568,3738519,3302282,3102433,3881002,4291822,3573583,3226276,3396806
156,China,000,World,22,"Beverages, spirits and vinegar",2203506,2220503,2369733,2081339,2023106,2085207,2340458,2980849,3177937,3310885
156,China,000,World,26,"Ores, slag and ash",275276,719599,1171065,1746659,1942481,4543791,3938162,3616276,3958038,3168867
156,China,000,World,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1580240,1650517,1976027,2216131,2009528,2345256,2448259,2631772,2905914,3120353
156,China,000,World,66,"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof",2743505,2633386,2718337,2858393,2396699,3037833,3605496,3291717,3386647,3112991
156,China,000,World,13,"Lac; gums, resins and other vegetable saps and extracts",1257675,1348619,1528701,1555982,1636442,2113751,2766285,2320060,2196832,2182436
156,China,000,World,05,"Products of animal origin, not elsewhere specified or included",1772269,2309658,2533417,2393615,1826547,1958053,2033750,1744807,1843406,2010687
156,China,000,World,92,Musical instruments; parts and accessories of such articles,1589822,1555163,1639029,1739136,1883799,2340496,2190005,2094654,2257239,1982806
156,China,000,World,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",2139088,1999467,2475896,2359750,1544596,1933511,2259769,2054706,1693690,1767647
156,China,000,World,53,Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn,1054693,1056902,1398649,1368443,918647,1384611,1616666,1590561,2003298,1746574
156,China,000,World,02,Meat and edible meat offal,902452,916721,867132,841004,710791,872352,992786,998693,1231785,1609200
156,China,000,World,37,Photographic or cinematographic goods,1074206,1083473,1131340,1105536,932724,1228189,1429239,1268511,1386210,1421036
156,China,000,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,822388,824449,996809,896115,726121,884343,1228633,1126781,1256123,1262861
156,China,000,World,46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",1485506,1496911,1604037,1658343,1657742,2142401,1903030,1570940,1402988,1212212
156,China,000,World,41,Raw hides and skins (other than furskins) and leather,634736,619070,636252,704107,644425,995863,978607,903161,1104343,1147933
156,China,000,World,11,Products of the milling industry; malt; starches; inulin; wheat gluten,565826,574494,791928,838598,692544,653125,1061709,900904,890988,1080169
156,China,000,World,10,Cereals,401329,673993,950004,1120944,959663,1076270,1070328,1028844,813919,1025628
156,China,000,World,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",589474,588280,589534,560622,576250,621573,712154,752735,783222,937919
156,China,000,World,80,Tin and articles thereof,67284,59821,74650,111792,126852,497896,401282,351996,597535,881621
156,China,000,World,50,Silk,1159517,1114376,1140489,995610,511474,654761,932982,802510,715611,768265
156,China,000,World,43,Furskins and artificial fur; manufactures thereof,3405379,3714794,4310069,5087107,3290593,2731417,2048251,1390471,730651,720171
156,China,000,World,97,"Works of art, collectors' pieces and antiques",419344,139898,197293,743086,684217,2445309,1694419,1417888,878564,705964
156,China,000,World,18,Cocoa and cocoa preparations,425911,376015,403638,399295,327418,436475,432725,429869,558880,688808
156,China,000,World,06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",331766,336340,379741,432163,472626,569049,573510,526418,605161,662596
156,China,000,World,79,Zinc and articles thereof,309208,246892,249465,331268,242003,223089,490396,178700,204891,483435
156,China,000,World,01,Live animals,646748,561541,544086,510018,599665,560831,542360,496414,488384,468349
156,China,000,World,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,122423,129394,127756,129763,157076,201074,262077,266897,295438,358664
156,China,000,World,47,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,109747,135094,131323,133815,115010,189320,417370,289282,317741,288068
156,China,000,World,93,Arms and ammunition; parts and accessories thereof,140052,132826,164061,142342,184573,314287,271353,208438,225434,208784
156,China,000,World,78,Lead and articles thereof,73066,84973,132409,63921,42163,273645,313446,472066,113095,155911
156,China,000,World,45,Cork and articles of cork,21644,21205,25549,25627,28283,40245,39043,46602,45755,53083
