"source_id","country","dataset","publisher","tool","accessed_at","url","query_parameters","exporter","product_input","itc_hs6","raw_file","sha256","note"
"MACMAP-11","brunei","custom_duties_85098090.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/customduties?reporter=096&partner=156&product=85098090","reporter=096&partner=156&product=85098090","China (156)","China Customs 85098090.00","850980","brunei\market-access-map\custom_duties_85098090.json","a91a44375d551fff90ecbc235e6eb2d41aff2caf31ee905ff7f5378bf8701019","Current applicable customs duty response; includes tariff regime, year and HS revision."
"MACMAP-12","brunei","ntm_measures_85098090.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/ntm-measures?reporter=096&partner=156&product=85098090","reporter=096&partner=156&product=85098090","China (156)","China Customs 85098090.00","850980","brunei\market-access-map\ntm_measures_85098090.json","4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945","NTM response; includes measure codes, counts, year, classification and source."
"MACMAP-13","cambodia","destination_ntl_under_hs850980.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/v2/ntlc-products?countryCode=116&level=6&code=850980","countryCode=116&level=6&code=850980","China (156)","China Customs 85098090.00","850980","cambodia\market-access-map\destination_ntl_under_hs850980.json","9cee23c77023c627ca70c912b89edae21975d992a997e6bf6bab1756d502f8d4","Destination national tariff lines returned by ITC for HS6 850980."
"MACMAP-14","cambodia","custom_duties_85098010.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/customduties?reporter=116&partner=156&product=85098010","reporter=116&partner=156&product=85098010","China (156)","China Customs 85098090.00","850980","cambodia\market-access-map\custom_duties_85098010.json","c5960502725cb203e2df38c6fe0ed0181b751b7d091094cced7be0405dbc11cc","Current applicable customs duty response; includes tariff regime, year and HS revision."
"MACMAP-15","cambodia","ntm_measures_85098010.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/ntm-measures?reporter=116&partner=156&product=85098010","reporter=116&partner=156&product=85098010","China (156)","China Customs 85098090.00","850980","cambodia\market-access-map\ntm_measures_85098010.json","b0e50848eb1a41b1e27a213ab0b9201d2c27a3b47e26e351f1faf8e8ec5ac84c","NTM response; includes measure codes, counts, year, classification and source."
"MACMAP-16","cambodia","custom_duties_85098020.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/customduties?reporter=116&partner=156&product=85098020","reporter=116&partner=156&product=85098020","China (156)","China Customs 85098090.00","850980","cambodia\market-access-map\custom_duties_85098020.json","18866eee9c1da470037edbe2a91776ef10ca3b4229ba403f3c14b657a6c847c4","Current applicable customs duty response; includes tariff regime, year and HS revision."
"MACMAP-17","cambodia","ntm_measures_85098020.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/ntm-measures?reporter=116&partner=156&product=85098020","reporter=116&partner=156&product=85098020","China (156)","China Customs 85098090.00","850980","cambodia\market-access-map\ntm_measures_85098020.json","ab3324473e78ed29c9ec87b05d61c687fe4507610df305a59c4f242d5f18cce3","NTM response; includes measure codes, counts, year, classification and source."
"MACMAP-18","cambodia","custom_duties_85098090.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/customduties?reporter=116&partner=156&product=85098090","reporter=116&partner=156&product=85098090","China (156)","China Customs 85098090.00","850980","cambodia\market-access-map\custom_duties_85098090.json","9dce952f636a0328be35ce8261581acdf4f9c3fb3d88bb438e78dd95fcdd7cdd","Current applicable customs duty response; includes tariff regime, year and HS revision."
"MACMAP-19","cambodia","ntm_measures_85098090.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/ntm-measures?reporter=116&partner=156&product=85098090","reporter=116&partner=156&product=85098090","China (156)","China Customs 85098090.00","850980","cambodia\market-access-map\ntm_measures_85098090.json","ab3324473e78ed29c9ec87b05d61c687fe4507610df305a59c4f242d5f18cce3","NTM response; includes measure codes, counts, year, classification and source."
"MACMAP-20","indonesia","destination_ntl_under_hs850980.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/v2/ntlc-products?countryCode=360&level=6&code=850980","countryCode=360&level=6&code=850980","China (156)","China Customs 85098090.00","850980","indonesia\market-access-map\destination_ntl_under_hs850980.json","9cee23c77023c627ca70c912b89edae21975d992a997e6bf6bab1756d502f8d4","Destination national tariff lines returned by ITC for HS6 850980."
"MACMAP-21","indonesia","custom_duties_85098010.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/customduties?reporter=360&partner=156&product=85098010","reporter=360&partner=156&product=85098010","China (156)","China Customs 85098090.00","850980","indonesia\market-access-map\custom_duties_85098010.json","3841edecd625bc88d41a988d016429ffd57dbb5245c6e9c9ba5325058d9a7d84","Current applicable customs duty response; includes tariff regime, year and HS revision."
"MACMAP-22","indonesia","ntm_measures_85098010.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/ntm-measures?reporter=360&partner=156&product=85098010","reporter=360&partner=156&product=85098010","China (156)","China Customs 85098090.00","850980","indonesia\market-access-map\ntm_measures_85098010.json","4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945","NTM response; includes measure codes, counts, year, classification and source."
"MACMAP-23","indonesia","custom_duties_85098020.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/customduties?reporter=360&partner=156&product=85098020","reporter=360&partner=156&product=85098020","China (156)","China Customs 85098090.00","850980","indonesia\market-access-map\custom_duties_85098020.json","c13dd977de3d662aa74424084d564c0c55ec5b6bcffff9f743581670913333b3","Current applicable customs duty response; includes tariff regime, year and HS revision."
"MACMAP-24","indonesia","ntm_measures_85098020.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/ntm-measures?reporter=360&partner=156&product=85098020","reporter=360&partner=156&product=85098020","China (156)","China Customs 85098090.00","850980","indonesia\market-access-map\ntm_measures_85098020.json","4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945","NTM response; includes measure codes, counts, year, classification and source."
"MACMAP-25","indonesia","custom_duties_85098090.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/customduties?reporter=360&partner=156&product=85098090","reporter=360&partner=156&product=85098090","China (156)","China Customs 85098090.00","850980","indonesia\market-access-map\custom_duties_85098090.json","da1c77b877e2613726cba3a339bb5a434327a277747c6aa030c203985154b1ac","Current applicable customs duty response; includes tariff regime, year and HS revision."
"MACMAP-26","indonesia","ntm_measures_85098090.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/ntm-measures?reporter=360&partner=156&product=85098090","reporter=360&partner=156&product=85098090","China (156)","China Customs 85098090.00","850980","indonesia\market-access-map\ntm_measures_85098090.json","4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945","NTM response; includes measure codes, counts, year, classification and source."
"MACMAP-27","japan","destination_ntl_under_hs850980.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/v2/ntlc-products?countryCode=392&level=6&code=850980","countryCode=392&level=6&code=850980","China (156)","China Customs 85098090.00","850980","japan\market-access-map\destination_ntl_under_hs850980.json","45375db2a077b8be841a2de682e35099ca3e056c7f8b882454b582c277044652","Destination national tariff lines returned by ITC for HS6 850980."
"MACMAP-28","japan","custom_duties_850980000.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/customduties?reporter=392&partner=156&product=850980000","reporter=392&partner=156&product=850980000","China (156)","China Customs 85098090.00","850980","japan\market-access-map\custom_duties_850980000.json","ec64f400f6ed5ff53a19f65487b4fcaf1310404ec2033db9124e7d0bb7f61b8a","Current applicable customs duty response; includes tariff regime, year and HS revision."
"MACMAP-29","japan","ntm_measures_850980000.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/ntm-measures?reporter=392&partner=156&product=850980000","reporter=392&partner=156&product=850980000","China (156)","China Customs 85098090.00","850980","japan\market-access-map\ntm_measures_850980000.json","148ca7c70a2c0c12fb4f18645fc116336ffaa2fe9c24e21f3ff040d6020ae056","NTM response; includes measure codes, counts, year, classification and source."
"MACMAP-30","south-korea","destination_ntl_under_hs850980.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/v2/ntlc-products?countryCode=410&level=6&code=850980","countryCode=410&level=6&code=850980","China (156)","China Customs 85098090.00","850980","south-korea\market-access-map\destination_ntl_under_hs850980.json","d700ee22cf9412ad5aafeb4263ac22655be58e998b6176c1e53baebab29db45d","Destination national tariff lines returned by ITC for HS6 850980."
"MACMAP-31","south-korea","custom_duties_8509801000.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/customduties?reporter=410&partner=156&product=8509801000","reporter=410&partner=156&product=8509801000","China (156)","China Customs 85098090.00","850980","south-korea\market-access-map\custom_duties_8509801000.json","e9a5889707868a4786f1ddf111ad4db86210adc0434598a2e09ff4a3d77cc9d3","Current applicable customs duty response; includes tariff regime, year and HS revision."
"MACMAP-32","south-korea","ntm_measures_8509801000.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/ntm-measures?reporter=410&partner=156&product=8509801000","reporter=410&partner=156&product=8509801000","China (156)","China Customs 85098090.00","850980","south-korea\market-access-map\ntm_measures_8509801000.json","33966ad13856820ba236805d428b2776528c0272e9252822a9a759367b70c2f8","NTM response; includes measure codes, counts, year, classification and source."
"MACMAP-33","south-korea","custom_duties_8509802000.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/customduties?reporter=410&partner=156&product=8509802000","reporter=410&partner=156&product=8509802000","China (156)","China Customs 85098090.00","850980","south-korea\market-access-map\custom_duties_8509802000.json","f7788d9f73fe703c72210ff6f4d89219e97284bb23a917842e9a8b1c7e673414","Current applicable customs duty response; includes tariff regime, year and HS revision."
"MACMAP-34","south-korea","ntm_measures_8509802000.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/ntm-measures?reporter=410&partner=156&product=8509802000","reporter=410&partner=156&product=8509802000","China (156)","China Customs 85098090.00","850980","south-korea\market-access-map\ntm_measures_8509802000.json","2a263de0fad350b45c2d9fe732c52e7cbf0b3a7e9ab2f591c3a9d32b99453dff","NTM response; includes measure codes, counts, year, classification and source."
"MACMAP-35","south-korea","custom_duties_8509803000.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/customduties?reporter=410&partner=156&product=8509803000","reporter=410&partner=156&product=8509803000","China (156)","China Customs 85098090.00","850980","south-korea\market-access-map\custom_duties_8509803000.json","50a693f5bd0b912b3ed43453671fdda5467b0a8b6d45f4ad14e7c1477591fada","Current applicable customs duty response; includes tariff regime, year and HS revision."
"MACMAP-36","south-korea","ntm_measures_8509803000.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/ntm-measures?reporter=410&partner=156&product=8509803000","reporter=410&partner=156&product=8509803000","China (156)","China Customs 85098090.00","850980","south-korea\market-access-map\ntm_measures_8509803000.json","a488734e48871ce3afb66c58589a08b9540385072706bd69dc281ec7243f3bf1","NTM response; includes measure codes, counts, year, classification and source."
"MACMAP-37","south-korea","custom_duties_8509804000.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/customduties?reporter=410&partner=156&product=8509804000","reporter=410&partner=156&product=8509804000","China (156)","China Customs 85098090.00","850980","south-korea\market-access-map\custom_duties_8509804000.json","a7b21f7714baae5baff23797e0208dbfddc3786b4d48794bde33daf69f57372a","Current applicable customs duty response; includes tariff regime, year and HS revision."
"MACMAP-38","south-korea","ntm_measures_8509804000.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/ntm-measures?reporter=410&partner=156&product=8509804000","reporter=410&partner=156&product=8509804000","China (156)","China Customs 85098090.00","850980","south-korea\market-access-map\ntm_measures_8509804000.json","c5ecba772795b4bd7523d1c63d8e4540ae775f06e8c7c69a2dab72ac938025b1","NTM response; includes measure codes, counts, year, classification and source."
"MACMAP-39","south-korea","custom_duties_8509809000.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/customduties?reporter=410&partner=156&product=8509809000","reporter=410&partner=156&product=8509809000","China (156)","China Customs 85098090.00","850980","south-korea\market-access-map\custom_duties_8509809000.json","8c8c086c9ec7cec36b5c0262e6cf44a265dbe6172b1c29005bcc13d7e1dae3ff","Current applicable customs duty response; includes tariff regime, year and HS revision."
"MACMAP-40","south-korea","ntm_measures_8509809000.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/ntm-measures?reporter=410&partner=156&product=8509809000","reporter=410&partner=156&product=8509809000","China (156)","China Customs 85098090.00","850980","south-korea\market-access-map\ntm_measures_8509809000.json","4a14e99e912e1ce0b18007a544e6df1501429b7ec41e7c7d86fddd6d3a3edab0","NTM response; includes measure codes, counts, year, classification and source."
"MACMAP-41","laos","destination_ntl_under_hs850980.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/v2/ntlc-products?countryCode=418&level=6&code=850980","countryCode=418&level=6&code=850980","China (156)","China Customs 85098090.00","850980","laos\market-access-map\destination_ntl_under_hs850980.json","20187e054fbe605a0a0c43bd56ceb3d4f0586ebca63d5acdbcd5f3e947f874a2","Destination national tariff lines returned by ITC for HS6 850980."
"MACMAP-42","laos","custom_duties_8509801000.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/customduties?reporter=418&partner=156&product=8509801000","reporter=418&partner=156&product=8509801000","China (156)","China Customs 85098090.00","850980","laos\market-access-map\custom_duties_8509801000.json","ad410736ca168f39cba14e59d12434d5d236d972a86787cf12408f5746a4f1f8","Current applicable customs duty response; includes tariff regime, year and HS revision."
"MACMAP-43","laos","ntm_measures_8509801000.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/ntm-measures?reporter=418&partner=156&product=8509801000","reporter=418&partner=156&product=8509801000","China (156)","China Customs 85098090.00","850980","laos\market-access-map\ntm_measures_8509801000.json","4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945","NTM response; includes measure codes, counts, year, classification and source."
"MACMAP-44","laos","custom_duties_8509802000.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/customduties?reporter=418&partner=156&product=8509802000","reporter=418&partner=156&product=8509802000","China (156)","China Customs 85098090.00","850980","laos\market-access-map\custom_duties_8509802000.json","b0cd7b4dab56716aa178b2077091e0eae84939ba5e22828536846e6416e42a5d","Current applicable customs duty response; includes tariff regime, year and HS revision."
"MACMAP-45","laos","ntm_measures_8509802000.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/ntm-measures?reporter=418&partner=156&product=8509802000","reporter=418&partner=156&product=8509802000","China (156)","China Customs 85098090.00","850980","laos\market-access-map\ntm_measures_8509802000.json","4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945","NTM response; includes measure codes, counts, year, classification and source."
"MACMAP-46","laos","custom_duties_8509809000.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/customduties?reporter=418&partner=156&product=8509809000","reporter=418&partner=156&product=8509809000","China (156)","China Customs 85098090.00","850980","laos\market-access-map\custom_duties_8509809000.json","8a14e5731e9b7e95fa6ab76427e561a0343b73d2bdd5fff7bcfa83280034881c","Current applicable customs duty response; includes tariff regime, year and HS revision."
"MACMAP-47","laos","ntm_measures_8509809000.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/ntm-measures?reporter=418&partner=156&product=8509809000","reporter=418&partner=156&product=8509809000","China (156)","China Customs 85098090.00","850980","laos\market-access-map\ntm_measures_8509809000.json","4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945","NTM response; includes measure codes, counts, year, classification and source."
"MACMAP-48","malaysia","destination_ntl_under_hs850980.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/v2/ntlc-products?countryCode=458&level=6&code=850980","countryCode=458&level=6&code=850980","China (156)","China Customs 85098090.00","850980","malaysia\market-access-map\destination_ntl_under_hs850980.json","20187e054fbe605a0a0c43bd56ceb3d4f0586ebca63d5acdbcd5f3e947f874a2","Destination national tariff lines returned by ITC for HS6 850980."
"MACMAP-49","malaysia","custom_duties_8509801000.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/customduties?reporter=458&partner=156&product=8509801000","reporter=458&partner=156&product=8509801000","China (156)","China Customs 85098090.00","850980","malaysia\market-access-map\custom_duties_8509801000.json","a107e852ba815ebbadb47157dd07264f65f2a218bb66158e71c7ac2d7ee7e7d9","Current applicable customs duty response; includes tariff regime, year and HS revision."
"MACMAP-50","malaysia","ntm_measures_8509801000.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/ntm-measures?reporter=458&partner=156&product=8509801000","reporter=458&partner=156&product=8509801000","China (156)","China Customs 85098090.00","850980","malaysia\market-access-map\ntm_measures_8509801000.json","2bdfe375f100b23dc5ad2eabb06c438fbaa83419e2792b368aa91d5ac6cd6821","NTM response; includes measure codes, counts, year, classification and source."
"MACMAP-51","malaysia","custom_duties_8509802000.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/customduties?reporter=458&partner=156&product=8509802000","reporter=458&partner=156&product=8509802000","China (156)","China Customs 85098090.00","850980","malaysia\market-access-map\custom_duties_8509802000.json","bb4e0a843a7180ff0d6fa81ba40efbd072cc5a6045f087539fca603781b7fc7c","Current applicable customs duty response; includes tariff regime, year and HS revision."
"MACMAP-52","malaysia","ntm_measures_8509802000.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/ntm-measures?reporter=458&partner=156&product=8509802000","reporter=458&partner=156&product=8509802000","China (156)","China Customs 85098090.00","850980","malaysia\market-access-map\ntm_measures_8509802000.json","2bdfe375f100b23dc5ad2eabb06c438fbaa83419e2792b368aa91d5ac6cd6821","NTM response; includes measure codes, counts, year, classification and source."
"MACMAP-53","malaysia","custom_duties_8509809000.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/customduties?reporter=458&partner=156&product=8509809000","reporter=458&partner=156&product=8509809000","China (156)","China Customs 85098090.00","850980","malaysia\market-access-map\custom_duties_8509809000.json","1b14b1bf8c8ab8b7ee0fdf0ddec4bf60ab10594d8c7e7991db414377e7137252","Current applicable customs duty response; includes tariff regime, year and HS revision."
"MACMAP-54","malaysia","ntm_measures_8509809000.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/ntm-measures?reporter=458&partner=156&product=8509809000","reporter=458&partner=156&product=8509809000","China (156)","China Customs 85098090.00","850980","malaysia\market-access-map\ntm_measures_8509809000.json","2bdfe375f100b23dc5ad2eabb06c438fbaa83419e2792b368aa91d5ac6cd6821","NTM response; includes measure codes, counts, year, classification and source."
"MACMAP-55","myanmar","destination_ntl_under_hs850980.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/v2/ntlc-products?countryCode=104&level=6&code=850980","countryCode=104&level=6&code=850980","China (156)","China Customs 85098090.00","850980","myanmar\market-access-map\destination_ntl_under_hs850980.json","20187e054fbe605a0a0c43bd56ceb3d4f0586ebca63d5acdbcd5f3e947f874a2","Destination national tariff lines returned by ITC for HS6 850980."
"MACMAP-56","myanmar","custom_duties_8509801000.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/customduties?reporter=104&partner=156&product=8509801000","reporter=104&partner=156&product=8509801000","China (156)","China Customs 85098090.00","850980","myanmar\market-access-map\custom_duties_8509801000.json","7a37f50d15b2912a75fee4333f2fb05bdaac3bfd4f14fc58b0d80555436e7f65","Current applicable customs duty response; includes tariff regime, year and HS revision."
"MACMAP-57","myanmar","ntm_measures_8509801000.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/ntm-measures?reporter=104&partner=156&product=8509801000","reporter=104&partner=156&product=8509801000","China (156)","China Customs 85098090.00","850980","myanmar\market-access-map\ntm_measures_8509801000.json","4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945","NTM response; includes measure codes, counts, year, classification and source."
"MACMAP-58","myanmar","custom_duties_8509802000.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/customduties?reporter=104&partner=156&product=8509802000","reporter=104&partner=156&product=8509802000","China (156)","China Customs 85098090.00","850980","myanmar\market-access-map\custom_duties_8509802000.json","6750390069902f63429280b591989c5563c82c9cf72eac12f07d9a1631a1cb1f","Current applicable customs duty response; includes tariff regime, year and HS revision."
"MACMAP-59","myanmar","ntm_measures_8509802000.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/ntm-measures?reporter=104&partner=156&product=8509802000","reporter=104&partner=156&product=8509802000","China (156)","China Customs 85098090.00","850980","myanmar\market-access-map\ntm_measures_8509802000.json","4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945","NTM response; includes measure codes, counts, year, classification and source."
"MACMAP-60","myanmar","custom_duties_8509809000.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/customduties?reporter=104&partner=156&product=8509809000","reporter=104&partner=156&product=8509809000","China (156)","China Customs 85098090.00","850980","myanmar\market-access-map\custom_duties_8509809000.json","a0951ca384753e4d6cb99449462493c9f2ea5dc2a0478659dcaaf1d43bd85ea6","Current applicable customs duty response; includes tariff regime, year and HS revision."
