reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,Value (kUSD),Balance (kUSD),Share World (%),Ranking,Growth Value 5Y (%),Growth Value 2Y (%),Growth Value World 5Y (%)
156,China,000,World,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",3134644,-3659069,2.569082,12,8,7,9
156,China,000,World,66,"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof",3112991,3102354,76.07021,1,0,-8,-2
156,China,000,World,13,"Lac; gums, resins and other vegetable saps and extracts",2182436,1810302,22.32048,1,-2,-1,0
156,China,000,World,05,"Products of animal origin, not elsewhere specified or included",2010687,840168,17.12969,1,0,9,1
156,China,000,World,92,Musical instruments; parts and accessories of such articles,1982806,1678464,25.58844,1,-3,-12,-4
156,China,000,World,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",1767647,-888695,17.2429,2,-5,4,-3
156,China,000,World,53,Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn,1746574,264251,24.55241,1,7,-13,6
156,China,000,World,02,Meat and edible meat offal,1609681,-20839296,0.835719,23,15,31,5
156,China,000,World,37,Photographic or cinematographic goods,1421036,-2493535,8.590582,3,3,3,1
156,China,000,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,1262861,1116978,17.08436,1,8,1,12
156,China,000,World,46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",1212212,1183984,44.94793,1,-13,-14,-5
156,China,000,World,41,Raw hides and skins (other than furskins) and leather,1147933,-1383873,7.633224,3,4,4,-5
156,China,000,World,11,Products of the milling industry; malt; starches; inulin; wheat gluten,1080169,-1100761,4.293934,10,9,21,2
156,China,000,World,10,Cereals,1025628,-6498760,0.7093062,23,-4,26,-2
156,China,000,World,24,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body",996503,-1567335,1.835046,18,9,7,8
156,China,000,World,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",933490,-7096923,0.7333302,22,9,20,5
156,China,000,World,80,Tin and articles thereof,881621,26444,10.26132,3,17,48,-1
156,China,000,World,50,Silk,768265,693325,43.08279,1,1,7,5
156,China,000,World,43,Furskins and artificial fur; manufactures thereof,720171,149567,23.27403,1,-31,-1,-13
156,China,000,World,97,"Works of art, collectors' pieces and antiques",705964,-187659,2.128937,8,-27,-20,4
156,China,000,World,18,Cocoa and cocoa preparations,697334,-1131022,0.5781272,26,13,23,24
156,China,000,World,06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",662596,315096,2.326614,10,4,9,2
156,China,000,World,79,Zinc and articles thereof,483435,-621490,2.598646,15,7,136,-3
156,China,000,World,01,Live animals,468349,-155006,1.492757,19,-5,-4,9
156,China,000,World,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,358664,111234,17.41508,2,14,21,5
156,China,000,World,47,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,288068,-21691075,0.5481551,27,6,-9,-1
156,China,000,World,93,Arms and ammunition; parts and accessories thereof,211577,195098,0.6442569,23,-9,-7,19
156,China,000,World,78,Lead and articles thereof,155911,-261345,1.582045,19,-19,38,4
156,China,000,World,45,Cork and articles of cork,53083,18530,2.572047,5,7,16,-1
